Job title,Company name,Location,Skills
Ticketing Officer, ,"Kathmandu, Nepal","Interpersonal,Management,Time Management,Ticketing,Organizational"
React JS Developer,E-Signature Pvt. Ltd.,"Usha Plaza - 5, Hadigaun Marg, Kathmandu","Interpersonal,Management,Problem Solving,React"
Voice Developer (Experience wi…,E-Signature Pvt. Ltd.,"Kathmandu, Nepal","Interpersonal,Management,Time Management"
HR Manager,E-Signature Pvt. Ltd.,"Usha Plaza - 5, Hadigaun Marg, Kathmandu","Interpersonal,Management,Time Management,Organizational"
Sr. Accountant,E-Signature Pvt. Ltd.,"Usha Plaza - 5, Hadigaun Marg, Kathmandu","Interpersonal,Management,Problem Solving,Accounting,Organizational"
Architect/Project Manager,KTK-BELT Project,Eastern Nepal,"Communication,Problem Solving,Analytical,Research,Team Player"
Sales Executive,Diagno Vision International,Remote Areas,
Executive Chef,Happy Monk Kitchen & Bar,"Kathmandu,Lazimpat","Interpersonal,Management,Leadership,Creative Thinking,Organizational"
Operation Manger,Happy Monk Kitchen & Bar,"Kathmandu,Lazimpat","Interpersonal,Management,Communication,Problem Solving"
Assistant Recovery Audit Analys…,Flextecs Nepal,"Kathmandu, Nepal","Interpersonal,Management,Communication,Teamwork,Microsoft Access"
Receptionist,United Academy,"Kumaripati, Lalitpur","Interpersonal,Marketing,Communication,Html,Wordpress"
Associate- Portfolio Management…, ,"Kathmandu, Nepal","Interpersonal,Management,Communication,Customer Service"
In-charge Depository Participant, ,"Kathmandu, Nepal","Communication,Administration,Financial Management"
Sales and Marketing Officer,Panchakanya Group,"Nepal and UP, Gorakhpur, Silguri and Bhutan","Interpersonal,Management,Communication,Problem Solving,Customer Service"
"Planning, Monitoring, Evaluatio…",HRC Bajura,"Badimalika Municipality 8 Bajura Head Office, travel to pro…","Interpersonal,Management,Communication,Organizational"
Business Development Officer,HRC Bajura,"Project Site Office and, frequently travel to project sites","Interpersonal,Marketing,Management,Communication,Organizational"
Assistance Finance and Admin Of…,HRC Bajura,"Badimalika Municipality 8 Bajura Head Office, travel to pro…",
Reception,Reputed Healthcare, ,
Marketing,Reputed Healthcare, ,
Senior React Developer,Soani Tech Nepal,"Manbhawan, Lalitpur, Nepal","Javascript,Json,React.Js,Redux,Dom"
Program Coordinator,International Hotel Training School,"Bhimsengola, Old Baneshwor","Interpersonal,Communication,Hospitality,Program Coordination,Organizational"
Senior Laravel Developer,Soani Tech Nepal,"Manbhawan, Lalitpur, Nepal","Php,Mysql,Postgresql,Laravel Framework"
Real Estate Agent,House Land,Kathmandu,"Interpersonal,Marketing,Management,Market Research,Verbal Communication"
Assistant ETL Developer,Flextecs Nepal,Lalitpur,"Communication,Analytical,Sql"
Senior Graphic Designer,Dzine Folio,"Kathmandu, Nepal","Communication,Time Management,Photoshop,Graphic Designer"
Mechanical Overseer,Sanima Middle Tamor Hydropower,"Head Office, New Baneshwor, Kathmandu",
Marketing Executive,Professional Education Consultancy,"Head Office, New Baneshwor, Kathmandu",
Counselor,Professional Education Consultancy,okhaldhunga,
Staff Nurse, ,Okhaldhunga,
Nursing Instructor, ,Okhaldhunga,
Orthopaedic Surgeon, ,Okhaldhunga,
Transportation Incharge,Trinity International College,"Kathmandu, Nepal","Interpersonal,Management,Communication,Time Management,Analytical,Computer Skill"
Internal Audit Coordinator,Helen Keller International,"Kathmandu, Nepal","Interpersonal,Communication,Time Management"
IT Assistant,Association for Craft Producers,"Kathmandu, Nepal","Problem Solving,Analytical,Customer Service,Technical Support,Computer Operation"
Officer – Account & Admin,CEDB Hydropower Development Company Limited,"Kathmandu, Nepal","Interpersonal,Teamwork,Problem Solving,Analytical"
Civil Engineer,Sherpa Hydro Construction Pvt.Ltd,"Kathmandu, Nepal","Interpersonal,Teamwork,Problem Solving,Autocad,Estimating,Site Supervision,Rate Analysis,Project Coordination"
Sales & Service Engineer,Corofin, ,"Interpersonal,Management,Sales,Time Management,Organizational"
Account Assistant,Prime College,"Nayabazar, Khusibu, Kathmandu","Interpersonal,Marketing,Management,Public Relations,Counselling"
Marketing Officer,SoftLab Inc.,"Biratnagar, Chitwan, Butwal, Pokhara, Kohalpur","Teamwork,Team Building,Analytical,Autocad,Cost Benefit Analysis"
Road Engineer,Mountain Infra Company,Manag,"Php,Mysql,Website Development,Laravel Framework"
Laravel Developers,Web Creation Nepal,"Bagbazar, Kathmandu","Interpersonal,Management,Communication"
Receptionist,Samaj Dental Hospital,New Baneshwor,
Lecturer/ Assistant Lecturer,Trinity International College,"Dillibazar, Kathmandu",
Officer - Social Media & Conten…,Khalti Digital Wallet,"Bakhundole, Lalipur","Interpersonal,Creative Thinking,Content Writing,Verbal Communication,Canva"
Lab Technologist,Narayani Samudayik Hospital,"Chitwan ,Bharatpur","Management,Reporting,Collaboration,Inventorizing"
HR Executive,ContentioLab,New Baneshwor (Behind BICC and next to Ace Institue of Mana…,"Interpersonal,Management,Communication,Organizational"
HR Associate,ContentioLab,New Baneshwor (Behind BICC and next to Ace Institue of Mana…,"Interpersonal,Management,Communication,Organizational"
Marketing Executive,Zinob Inc.,"Kathmandu, Nepal",Knowledge In Technology & Ecommerce
Front Office and Administrative…,FHI 360 Nepal,"Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Time Management,Organizational"
Grants Specialist,FHI 360 Nepal,"Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Time Management,Organizational"
Technical Specialist‒HIV,FHI 360 Nepal,"Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Time Management,Organizational"
Customer Counselor/ Advisor,Yodha,"New Baneshwor ( Indra Square Building, 7th floor)","Communication,Presentation,Typing"
Dot Net MVC/Core Developer,INFICARE,"Kathmandu, Nepal","Communication,Problem Solving,Multitasking,Time Management,Analytical,.Net,Microsoft Sql"
Data Entry Operator,IIMI Asia Pacific,"Kathmandu, Nepal","Data Analysis,Data Entry,Microsoft Office Suite"
"Brand Manager, Communications a…",United Academy,"Kumaripati, Lalitpur","Communication,Problem Solving,Multitasking,Time Management"
Sales Assistant,AK Group,"Kathmandu, Nepal","Interpersonal,Management,Public Relations,Counselling"
Reservation and Ticketing offic…,Thamserku Travel,"Sukedhara, Dhumbarahi","Interpersonal,Management,Public Relations,Microsoft Office Suite,Organizational"
Account and Admin Officer (Juni…,Himalayan Life Foundation,"Basundhara-03, Kathmandu","Interpersonal,Marketing,Management,Communication"
Teaching Assistant,Kathford College of Engineering and Management,"Tripureshwor , Kathmandu","Interpersonal,Management,Communication,Organizational"
Business Development Officer,SAARC Business Association of Home Based Workers,"Balkumari , Lalitpur","Interpersonal,Management,Negotiation,Leadership,Analytical,Decision Making,Organizational"
Project Manager – Disability In…,United Mission to Nepal,"Lalitpur, Kathmandu",
Grade Teacher,iae GLOBAL NEPAL,"Yangri , Sidhupalchwok","Communication,Presentation,Leadership,Multitasking,Time Management"
Counselor (Australia),Kathford College of Engineering and Management,Dilibazar,"Interpersonal,Management,Communication,Documentation"
Lecturer/Assistant Lecturer- Ma…,Kathford College of Engineering and Management,"Balkumari , Lalitpur","Interpersonal,Management,Communication,Organizational"
Lecturer/Assistant Lecturer- In…,Ichiban Japanese Language Center,"Balkumari , Lalitpur","Interpersonal,Management,Communication,Organizational"
Counselor (Japan),Gorkha Brewery,"Bagbazar, Kathmandu","Interpersonal,Management,Communication"
Warehouse Assistant, ,"Mukundapur, Nawalparasi",
Sales & Marketing,Cresurge Nepal Private Limited,"390 Nagpokhari Marg, Kathmandu, Nepal","Interpersonal,Management,Communication,Time Management,Customer Service"
Creative Technical Writer,Aqore Software,"New Baneshwor, Kathmandu","Communication,Teamwork,Creative Thinking,Creative Writing"
IT Support Specialist,Viridian Tech Private Limited,Hybrid (Shorakhutte),"Problem Solving,Administration,Database Management,Project Management,Client Dealing"
Front Desk Officer,Clover Education Consultancy,"Putalisadak, Kathmandu","Interpersonal,Management,Problem Solving,Recording,Organizational"
Visa Officer,Clover Education Consultancy,"Kathmandu, Putalisadak","Interpersonal,Management,Customer Service,Organizational"
Store and Logistic Manager,MeroShopping.com,"Baluwatar, Kathmandu, Nepal","Interpersonal,Management,Time Management,Organizational"
Python Trainer,IT Training Nepal,"Putalisadak, Kathmandu","Interpersonal,Management,Communication,Python,Counselling"
Marketing Executive,Reliance Trade Link,Banasthali,"Marketing,Public Relations"
Business Development Officer,Fresco Nepal Pvt Ltd,"house no 470, didi bahini marga","Interpersonal,Marketing,Communication,Public Relations"
VB.Net Developer,NBIT,"Freshco Nepal Pvt. Ltd.,","Interpersonal,Communication,Javascript,Typescript"
Javascript and Typescript Devel…,Jhigu Bazar,"Sanepa-2, Lalitpur","Interpersonal,Management,Communication,Organizational"
Accountant,Good Mart,Balkumari,
Sales Girl,Good Mart,"New Plaza , Putalisadak","Interpersonal,Management,Communication,Organizational"
Education Counsellor,Aseemit Technologies Pvt Ltd,Lazimpat - 2,"Interpersonal,Management,Counselling,Organizational"
Tour Sales Assistant - Entry Le…,Kailash Journeys,"Jhamsikhel, Lalitpur, Nepal","Interpersonal,Management,Public Relations,Photography,Ticketing"
AI Engineer (Machine Learning),PSP Corporation,"Jhamsikhel, Lalitpur, Nepal","Python,C++,Artificial Intelligence,Ml,Dl"
Software Development,PSP Corporation, ,"Computer Programming,Proficiency In English"
Electrical Overseer,Sanima Middle Tamor Hydropower, ,
